10.000	1.96973E-02
13.000 	0.60897 
16.000 	0.71291 
19.000 	0.73292 
22.000	0.76175 
25.000 	0.80017 
28.000 	0.83714 
31.000 	0.85467 
34.000 	0.86885 
37.000 	0.87810 
40.000 	0.88829 
43.000 	0.90227 
46.000 	0.91292 
49.000 	0.91709 
52.000 	0.31917 
55.000 	0.26506 
58.000 	0.21956 
61.000 	0.17368 
64.000 	0.12011 
67.000 	7.69944E-02
70.000 	4.88046E-02
73.000 	4.96640E-02
76.000 	8.17468E-02
79.000 	8.95145E-02
82.000 	8.25483E-02
85.000 	7.61500E-02
88.000 	7.02702E-02
91.000 	6.76147E-02
94.000 	7.10854E-02
97.000 	7.68480E-02
100.00 	8.53860E-02
