EO pos[mm]	Time[ps]	AVG[arb.u.]	Norm[arb.u.]	
50.644	337.860400744304	8.12413632	0.0223682697046034	
50.66	337.967141254768	7.46470638	0.0205526543372322	
50.676	338.073881765231	7.67619265	0.0211349417016791	
50.692	338.180622275694	9.04040766	0.024891049191361	
50.708	338.287362786158	8.02985921	0.022108695549224	
50.724	338.394103296621	8.8972083	0.0244967768921479	
50.74	338.500843807085	8.82943074	0.0243101642256091	
50.756	338.607584317548	9.66059794	0.0265986255914593	
50.772	338.714324828012	8.99912945	0.0247773974630006	
50.788	338.821065338475	8.9807838	0.0247268861925169	
50.804	338.927805848938	9.57396491	0.0263600979616857	
50.82	339.034546359402	9.95413094	0.0274068130778063	
50.836	339.141286869865	9.08270492	0.0250075066807702	
50.852	339.248027380329	8.03903213	0.0221339514460304	
50.868	339.354767890792	9.78035531	0.0269283548138357	
50.884	339.461508401255	8.15878954	0.0224636807785393	
50.9	339.568248911719	8.84268053	0.024346645011329	
50.916	339.674989422182	8.67705872	0.0238906367454504	
50.932	339.781729932646	7.96157203	0.0219206797405963	
50.948	339.888470443109	7.05396399	0.0194217530085561	
50.964	339.995210953572	7.33271846	0.0201892506133137	
50.98	340.101951464036	8.78662384	0.0241923035390447	
50.996	340.208691974499	7.18951923	0.019794978672031	
51.012	340.315432484963	8.66533769	0.0238583651106663	
51.028	340.422172995426	7.71747085	0.0212485934025064	
51.044	340.528913505889	9.38846842	0.0258493685309938	
51.06	340.635654016353	8.61641556	0.0237236672972298	
51.076	340.742394526816	8.12311713	0.022365463558091	
51.092	340.84913503728	7.171683064	0.019745870169186	
51.108	340.955875547743	9.06130146	0.0249485763099549	
51.124	341.062616058207	9.46287089	0.0260542216316922	
51.14	341.16935656867	8.87325693	0.0244308313340169	
51.156	341.276097079133	8.47423551	0.0233322014749264	
51.172	341.382837589597	8.36517999	0.0230319377683548	
51.188	341.48957810006	8.28313328	0.022806037701521	
51.204	341.596318610524	9.32018116	0.0256613525021012	
51.22	341.703059120987	8.51602319	0.0234472559323791	
51.236	341.80979963145	8.31167129	0.0228846117036511	
51.252	341.916540141914	8.47270673	0.0233279922689244	
51.268	342.023280652377	8.11853065	0.0223528355546216	
51.284	342.130021162841	9.90113183	0.0272608900725921	
51.3	342.236761673304	8.50532143	0.0234177906643722	
51.316	342.343502183767	9.19736614	0.0253232046199228	
51.332	342.450242694231	8.10375212	0.0223121456730322	
51.348	342.556983204694	7.76843146	0.0213889037842986	
51.364	342.663723715158	8.71884631	0.0240056909551052	
51.38	342.770464225621	7.55133936	0.0207911818293402	
51.396	342.877204736084	8.88956424	0.0244757304216084	
51.412	342.983945246548	9.53982129	0.0262660899747725	
51.428	343.090685757011	10.11465675	0.0278487904734576	
51.444	343.197426267475	9.91336233	0.0272945644364687	
51.46	343.304166777938	11.04061049	0.030398228613647	
51.476	343.410907288401	11.05386025	0.0304347093167677	
51.492	343.517647798865	10.73229888	0.0295493510254457	
51.508	343.624388309328	11.20164603	0.0308416094542515	
51.524	343.731128819792	11.26126988	0.0310057724255625	
51.54	343.837869330255	11.72042461	0.0322699679575232	
51.556	343.944609840719	11.9838908	0.032995372180672	
51.572	344.051350351182	10.92747802	0.0300867397978971	
51.588	344.158090861645	10.62222406	0.0292462808694977	
51.604	344.264831372109	11.47275632	0.0315880602580722	
51.62	344.371571882572	11.51403423	0.0317017111604394	
51.636	344.478312393036	11.5894561	0.0319093709858454	
51.652	344.585052903499	11.36573917	0.0312934088169923	
51.668	344.691793413962	10.42704516	0.0287088927578408	
51.684	344.798533924426	11.61238829	0.0319725104249972	
51.7	344.905274434889	12.4827951	0.0343690106204547	
51.716	345.012014945353	11.49059245	0.031637168661798	
