EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
50.644	337.860400744304	13.6533597	12.4206232	13.1096102	13.0611977	0.137305042803941	
50.66	337.967141254768	11.41873792	12.21627111	12.6519842	12.09566441	0.127154933085283	
50.676	338.073881765231	12.76358789	12.12199412	11.13437817	12.0066533933333	0.126219210210999	
50.692	338.180622275694	13.6294082	12.18824284	12.62191741	12.8131894833333	0.134697871579119	
50.708	338.287362786158	12.85684565	12.9852663	11.74590518	12.5293390433333	0.131713911171406	
50.724	338.394103296621	13.4933435	12.8950662	13.5341119	13.3075072	0.139894356373593	
50.74	338.500843807085	13.3175294	13.2721744	13.0897356	13.2264798	0.139042560781731	
50.756	338.607584317548	13.8658652	13.1299945	13.5193334	13.5050643666667	0.141971164017764	
50.772	338.714324828012	14.2715116	13.2619825	11.64857036	13.0606881533333	0.13729968622574	
50.788	338.821065338475	13.0734282	14.4728057	13.1524173	13.5662170666667	0.142614028040186	
50.804	338.927805848938	12.79671229	13.166686	11.94465134	12.6360165433333	0.132835351872339	
50.82	339.034546359402	13.1896184	12.16683946	12.5475151	12.6346576533333	0.13282106662424	
50.836	339.141286869865	12.73403089	13.3103948	13.11521594	13.0532138766667	0.137221113348947	
50.852	339.248027380329	13.52137181	13.70381073	13.1814648	13.4688824466667	0.141590803794419	
50.868	339.354767890792	13.2145891	14.8611256	12.70141593	13.5923768766667	0.142889031444491	
50.884	339.461508401255	12.47260298	13.70584902	12.7009065	12.9597861666667	0.136238960255849	
50.9	339.568248911719	14.5196895	14.1013032	12.95774763	13.85958011	0.145697989109237	
50.916	339.674989422182	14.6078511	13.18401277	13.0280732	13.60664569	0.143039031472857	
50.932	339.781729932646	13.1717821	11.81928818	12.83187498	12.60764842	0.132537133709042	
50.948	339.888470443109	13.4974204	13.3292504	14.0391313	13.6219340333333	0.143199749248056	
50.964	339.995210953572	13.5091411	13.5784476	12.23155916	13.10638262	0.137780046514718	
50.98	340.101951464036	12.61019649	13.20133928	13.94281583	13.2514505333333	0.139305064090228	
50.996	340.208691974499	13.4969108	14.2603002	12.51846741	13.4252261366667	0.141131869502871	
51.012	340.315432484963	13.35320179	14.2888383	12.02414972	13.22206327	0.138996132279949	
51.028	340.422172995426	13.24210761	13.0820915	12.81098106	13.0450600566667	0.137135396814382	
51.044	340.528913505889	13.7348966	14.05034254	13.3735859	13.7196083466667	0.144226544499236	
51.06	340.635654016353	13.3822494	12.16582016	13.31600076	12.9546901066667	0.13618538823646	
51.076	340.742394526816	13.08616833	13.1452826	13.06374575	13.0983988933333	0.137696118075927	
51.092	340.84913503728	14.4162396	14.7148687	13.07954338	14.0702172266667	0.147912298928621	
51.108	340.955875547743	14.1298411	13.73387751	12.31054818	13.3914222633333	0.140776508349815	
51.124	341.062616058207	13.0015739	14.3978936	13.7420312	13.7138329	0.144165830469023	
51.14	341.16935656867	14.17009994	14.088563	13.51933337	13.92599877	0.146396211214418	
51.156	341.276097079133	13.1513979	11.82897074	12.14237833	12.37424899	0.130083536461482	
51.172	341.382837589597	13.0693513	12.83034626	11.10940744	12.3363683333333	0.129685318372718	
51.188	341.48957810006	13.3251735	14.3015782	12.38902754	13.33859308	0.140221144787798	
51.204	341.596318610524	13.2680977	12.71415599	12.81301972	12.9317578033333	0.135944313798793	
51.22	341.703059120987	13.5601019	13.6238026	13.6294081	13.6044375333333	0.143015818360813	
51.236	341.80979963145	13.880644	13.4143544	13.32160624	13.5388682133333	0.142326524890489	
51.252	341.916540141914	14.0029492	12.8568456	12.5582167	13.1393371666667	0.138126479173083	
51.268	342.023280652377	12.807414	13.14018666	13.18197418	13.0431916133333	0.137115754917999	
51.284	342.130021162841	13.7935014	14.109457	12.4685259	13.4571614333333	0.141467587357886	
51.3	342.236761673304	14.6445431	12.00172701	12.58981214	13.0786940833333	0.137488972464733	
51.316	342.343502183767	12.8170964	13.43473885	12.13065727	12.7941641733333	0.134497869170159	
51.332	342.450242694231	14.617534	12.58318748	12.50266966	13.2344637133333	0.139126491182844	
51.348	342.556983204694	14.2409352	13.0601784	13.8398753	13.7136629666667	0.144164044055239	
51.364	342.663723715158	13.6920897	13.2375212	12.7442228	13.2246112333333	0.139022917588814	
51.38	342.770464225621	13.00768896	13.7522233	13.40161426	13.3871755066667	0.140731864579826	
51.396	342.877204736084	13.03928465	13.0688418	13.33893288	13.1490197766667	0.138228267019117	
51.412	342.983945246548	15.9399612	12.85073043	14.20220516	14.3309655966667	0.150653400236957	
51.428	343.090685757011	14.7566562	12.43591119	14.1543022	13.7822898633333	0.144885480113459	
51.444	343.197426267475	13.27472236	13.558573	13.7399926	13.52442932	0.142174736906514	
51.46	343.304166777938	14.2332912	12.6907143	11.17565604	12.69988718	0.133506788037909	
51.476	343.410907288401	14.3535581	13.58813003	13.54940014	13.8303627566667	0.145390843467452	
51.492	343.517647798865	13.8556732	13.75680971	13.6915802	13.7680210366667	0.144735479944927	
51.508	343.624388309328	14.7989535	13.4964011	14.9941326	14.4298290666667	0.151692696424939	
51.524	343.731128819792	13.9769593	13.57793809	14.0319967	13.86229803	0.145726561077177	
51.54	343.837869330255	13.734387	14.20526266	12.74371321	13.5611209566667	0.142560455495175	
51.556	343.944609840719	14.353558	13.7410118	13.08820703	13.7275922766667	0.144310475075556	
51.572	344.051350351182	13.3567691	13.3165101	12.50776576	13.06034832	0.137296113748587	
51.588	344.158090861645	12.9766031	13.7542616	13.21204096	13.3143018866667	0.139965785102032	
