D:\Data\Install\2023-11-16\20231116-085401_La scala day--ESp_Cayman_iXPS-ESp_Cayman--1_1-Detector_Region.vms
Survey
	Characteristic Energy eV	1486.7	Acquisition Time s	0.1	Step Size eV	0.344322	No Steps	4096



KE_Survey	BE_Survey	Background_Survey
166.927	1319.77	879.697
167.271	1319.43	884.454
167.616	1319.08	876.8
167.96	1318.74	919.335
168.304	1318.4	933.228
168.649	1318.05	955.481
168.993	1317.71	825.719
169.337	1317.36	832.676
169.682	1317.02	952.418
170.026	1316.67	882.14
170.37	1316.33	936.832
170.715	1315.99	876.725
171.059	1315.64	896.016
171.403	1315.3	844.347
171.748	1314.95	891.372
172.092	1314.61	960.36
172.436	1314.26	1062.97
172.781	1313.92	1067.33
173.125	1313.58	911.413
173.469	1313.23	1139.95
173.814	1312.89	894.622
174.158	1312.54	917.378
174.502	1312.2	865.471
174.847	1311.85	889.568
175.191	1311.51	911.511
175.535	1311.16	840.488
175.879	1310.82	915.577
176.224	1310.48	1063.2
176.568	1310.13	994.394
176.912	1309.79	899.056
177.257	1309.44	929.361
177.601	1309.1	971.264
177.945	1308.75	926.725
178.29	1308.41	967.539
178.634	1308.07	1038.21
178.978	1307.72	1014.2
179.323	1307.38	1050.7
179.667	1307.03	1018.01
180.011	1306.69	1038.92
180.356	1306.34	1076.73
180.7	1306	1087.28
181.044	1305.66	1107.92
181.389	1305.31	1086
181.733	1304.97	1163.77
182.077	1304.62	1117.07
182.422	1304.28	1013.36
182.766	1303.93	1074.91
183.11	1303.59	1083
183.455	1303.25	981.895
183.799	1302.9	1090.69
184.143	1302.56	1076.52
184.488	1302.21	1150.34
184.832	1301.87	1210.75
185.176	1301.52	1028.7
185.521	1301.18	1022.54
185.865	1300.84	1036.34
186.209	1300.49	1051.01
186.553	1300.15	1236.69
186.898	1299.8	1162.48
187.242	1299.46	1144.62
187.586	1299.11	1098.71
187.931	1298.77	1216.05
188.275	1298.42	1044.66
188.619	1298.08	1181.04
188.964	1297.74	1206.47
189.308	1297.39	1118
189.652	1297.05	1119.39
189.997	1296.7	1109.39
190.341	1296.36	1194.86
190.685	1296.01	1052.2
191.03	1295.67	1163.29
191.374	1295.33	1121.86
191.718	1294.98	1031.64
192.063	1294.64	1055.17
192.407	1294.29	1143.54
192.751	1293.95	1250.71
193.096	1293.6	1156.95
193.44	1293.26	1253.88
193.784	1292.92	1195.98
194.129	1292.57	1351
194.473	1292.23	1037.23
194.817	1291.88	1093.93
195.162	1291.54	1025.27
195.506	1291.19	1377.23
195.85	1290.85	1290
196.195	1290.51	1349.88
196.539	1290.16	1327.72
196.883	1289.82	1156.99
197.227	1289.47	1316.3
197.572	1289.13	1402.08
197.916	1288.78	1186.3
